,0,1
0,N_1_to_last2_ALL_Users_percent/User count,0.231249748863994
1,U_1_to_last2_ALL_Users_percent/User count,0.01366576113515406
2,S_1_to_last2_ALL_Users_percent/User count,0.009544160281946558
3,User_count(for count in passwords.index),26643553.0
4,N_1_to_last2_ALL,52841886.0
5,U_1_to_last2_ALL,3418749.0
6,S_1_to_last2_ALL,3619652.0
7,length_ALL(= length_ALL + len(password)),225203560.0
8,N_1_to_last2_ALL/length_ALL,0.2346405447587063
9,U_1_to_last2_ALL/length_ALL,0.01518070584674594
10,S_1_to_last2_ALL/length_ALL,0.01607280098058841
