,0,1
0,N_1_to_last2_ALL_Users_percent/User count,0.2231640112786058
1,U_1_to_last2_ALL_Users_percent/User count,0.013810215962238312
2,S_1_to_last2_ALL_Users_percent/User count,0.015311451703068074
3,User_count(for count in passwords.index),21305866.0
4,N_1_to_last2_ALL,41525294.0
5,U_1_to_last2_ALL,2704802.0
6,S_1_to_last2_ALL,5320593.0
7,length_ALL(= length_ALL + len(password)),183609665.0
8,N_1_to_last2_ALL/length_ALL,0.2261607198074241
9,U_1_to_last2_ALL/length_ALL,0.014731261559678787
10,S_1_to_last2_ALL/length_ALL,0.028977739270969208
