,0,1
0,N_1_to_last2_ALL_Users_percent/User count,0.2132950666432862
1,U_1_to_last2_ALL_Users_percent/User count,0.013897862043211315
2,S_1_to_last2_ALL_Users_percent/User count,0.010109196323767387
3,User_count(for count in passwords.index),16035917.0
4,N_1_to_last2_ALL,29277223.0
5,U_1_to_last2_ALL,2012883.0
6,S_1_to_last2_ALL,2338084.0
7,length_ALL(= length_ALL + len(password)),133710145.0
8,N_1_to_last2_ALL/length_ALL,0.21896037133158444
9,U_1_to_last2_ALL/length_ALL,0.015054078357330329
10,S_1_to_last2_ALL/length_ALL,0.017486212433619006
