,0,1
0,N_1_to_last2_ALL_Users_percent/User count,0.19332834476801547
1,U_1_to_last2_ALL_Users_percent/User count,0.011916377751137668
2,S_1_to_last2_ALL_Users_percent/User count,0.0062509936761411256
3,User_count(for count in passwords.index),39701930.0
4,N_1_to_last2_ALL,65455909.0
5,U_1_to_last2_ALL,4185817.0
6,S_1_to_last2_ALL,3188404.0
7,length_ALL(= length_ALL + len(password)),332775350.0
8,N_1_to_last2_ALL/length_ALL,0.1966969879229336
9,U_1_to_last2_ALL/length_ALL,0.012578506791443535
10,S_1_to_last2_ALL/length_ALL,0.009581250534331944
