,0,1
0,N_1_to_last2_ALL_Users_percent/User count,0.2447971273352863
1,U_1_to_last2_ALL_Users_percent/User count,0.01277807835713328
2,S_1_to_last2_ALL_Users_percent/User count,0.018460435850173856
3,User_count(for count in passwords.index),25665087.0
4,N_1_to_last2_ALL,54898124.0
5,U_1_to_last2_ALL,3024456.0
6,S_1_to_last2_ALL,8301416.0
7,length_ALL(= length_ALL + len(password)),221892613.0
8,N_1_to_last2_ALL/length_ALL,0.2474085245911273
9,U_1_to_last2_ALL/length_ALL,0.0136302689806082
10,S_1_to_last2_ALL/length_ALL,0.03741186282753811
