,0,1
0,N_1_to_last2_ALL_Users_percent/User count,0.2210167533583449
1,U_1_to_last2_ALL_Users_percent/User count,0.01143322584408745
2,S_1_to_last2_ALL_Users_percent/User count,0.012279369139934404
3,User_count(for count in passwords.index),71887719.0
4,N_1_to_last2_ALL,135715916.0
5,U_1_to_last2_ALL,7460077.0
6,S_1_to_last2_ALL,14747168.0
7,length_ALL(= length_ALL + len(password)),610651025.0
8,N_1_to_last2_ALL/length_ALL,0.222247913200506
9,U_1_to_last2_ALL/length_ALL,0.012216596213852257
10,S_1_to_last2_ALL/length_ALL,0.024149911154247226
