,0,1
0,N_1_to_last2_ALL_Users_percent/User count,0.20901217731528
1,U_1_to_last2_ALL_Users_percent/User count,0.012390818905114495
2,S_1_to_last2_ALL_Users_percent/User count,0.01450646231368064
3,User_count(for count in passwords.index),26186313.0
4,N_1_to_last2_ALL,47803329.0
5,U_1_to_last2_ALL,2921523.0
6,S_1_to_last2_ALL,6298108.0
7,length_ALL(= length_ALL + len(password)),226271831.0
8,N_1_to_last2_ALL/length_ALL,0.21126504695142545
9,U_1_to_last2_ALL/length_ALL,0.01291156299521879
10,S_1_to_last2_ALL/length_ALL,0.0278342556922165
