,0,1
0,N_1_to_last2_ALL_Users_percent/User count,0.20620270506060406
1,U_1_to_last2_ALL_Users_percent/User count,0.012115210446915915
2,S_1_to_last2_ALL_Users_percent/User count,0.008003853979918407
3,User_count(for count in passwords.index),21474331.0
4,N_1_to_last2_ALL,38042175.0
5,U_1_to_last2_ALL,2348231.0
6,S_1_to_last2_ALL,2505748.0
7,length_ALL(= length_ALL + len(password)),181369927.0
8,N_1_to_last2_ALL/length_ALL,0.20974907819199815
9,U_1_to_last2_ALL/length_ALL,0.012947190522936032
10,S_1_to_last2_ALL/length_ALL,0.013815675186327885
