,0,1
0,N_1_to_last2_ALL_Users_percent/User count,0.2505825847839473
1,U_1_to_last2_ALL_Users_percent/User count,0.011870815530930421
2,S_1_to_last2_ALL_Users_percent/User count,0.02256075365559233
3,User_count(for count in passwords.index),13594066.0
4,N_1_to_last2_ALL,29940261.0
5,U_1_to_last2_ALL,1490394.0
6,S_1_to_last2_ALL,5296080.0
7,length_ALL(= length_ALL + len(password)),119269867.0
8,N_1_to_last2_ALL/length_ALL,0.251029549651464
9,U_1_to_last2_ALL/length_ALL,0.012495981067875256
10,S_1_to_last2_ALL/length_ALL,0.04440417461017207
