,0,1
0,N_1_to_last2_ALL_Users_percent/User count,0.22121736258478145
1,U_1_to_last2_ALL_Users_percent/User count,0.012378853199331859
2,S_1_to_last2_ALL_Users_percent/User count,0.011871479038345263
3,User_count(for count in passwords.index),31322715.0
4,N_1_to_last2_ALL,59896545.0
5,U_1_to_last2_ALL,3562125.0
6,S_1_to_last2_ALL,5798776.0
7,length_ALL(= length_ALL + len(password)),268868705.0
8,N_1_to_last2_ALL/length_ALL,0.22277246807135848
9,U_1_to_last2_ALL/length_ALL,0.0132485668051252
10,S_1_to_last2_ALL/length_ALL,0.021567314797756032
