,0,1
0,N_1_to_last2_ALL_Users_percent/User count,0.2076148301396688
1,U_1_to_last2_ALL_Users_percent/User count,0.011861385836416627
2,S_1_to_last2_ALL_Users_percent/User count,0.010874482195187144
3,User_count(for count in passwords.index),21361650.0
4,N_1_to_last2_ALL,38614228.0
5,U_1_to_last2_ALL,2290506.0
6,S_1_to_last2_ALL,3504001.0
7,length_ALL(= length_ALL + len(password)),182844975.0
8,N_1_to_last2_ALL/length_ALL,0.21118561229259925
9,U_1_to_last2_ALL/length_ALL,0.012527038273816384
10,S_1_to_last2_ALL/length_ALL,0.01916378068360916
