,0,1
0,N_1_to_last2_ALL_Users_percent/User count,0.20561948071766065
1,U_1_to_last2_ALL_Users_percent/User count,0.013129500186783787
2,S_1_to_last2_ALL_Users_percent/User count,0.009002225703249591
3,User_count(for count in passwords.index),20409409.0
4,N_1_to_last2_ALL,35985290.0
5,U_1_to_last2_ALL,2406884.0
6,S_1_to_last2_ALL,2677795.0
7,length_ALL(= length_ALL + len(password)),172449097.0
8,N_1_to_last2_ALL/length_ALL,0.20867195378819525
9,U_1_to_last2_ALL/length_ALL,0.013957069314198843
10,S_1_to_last2_ALL/length_ALL,0.015528031439909482
