,0,1
0,N_1_to_last2_ALL_Users_percent/User count,0.1967310890110069
1,U_1_to_last2_ALL_Users_percent/User count,0.010800041605058116
2,S_1_to_last2_ALL_Users_percent/User count,0.0075096210235982876
3,User_count(for count in passwords.index),19442221.0
4,N_1_to_last2_ALL,32700994.0
5,U_1_to_last2_ALL,1907740.0
6,S_1_to_last2_ALL,2037917.0
7,length_ALL(= length_ALL + len(password)),164185192.0
8,N_1_to_last2_ALL/length_ALL,0.19917139665067968
9,U_1_to_last2_ALL/length_ALL,0.011619440077153851
10,S_1_to_last2_ALL/length_ALL,0.012412306951530684
