,0,1
0,N_1_to_last2_ALL_Users_percent/User count,0.24667868046445385
1,U_1_to_last2_ALL_Users_percent/User count,0.01127476172607142
2,S_1_to_last2_ALL_Users_percent/User count,0.010231276358145094
3,User_count(for count in passwords.index),31299799.0
4,N_1_to_last2_ALL,65206094.0
5,U_1_to_last2_ALL,3241094.0
6,S_1_to_last2_ALL,4964971.0
7,length_ALL(= length_ALL + len(password)),263070639.0
8,N_1_to_last2_ALL/length_ALL,0.2478653423577232
9,U_1_to_last2_ALL/length_ALL,0.012320242244897577
10,S_1_to_last2_ALL/length_ALL,0.01887314760352256
